Season,Year,Season Type,District,Solar Generation (MW),Adjusted Max Power Limit (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Max Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
14,7,Winter,CBR East,0.7808719191919193,48.23541737373737,4.8999999999999995,24.081818181818182,1,14,24.153599191919188,899.4242424242425,0.7636297120787122,278.40347721212106
14,7,Winter,South CBR,18.143170909090912,131.9007466666667,9.45,113.20757575757575,1,27,18.693170909090938,899.4242424242425,0.7636297120787122,278.40347721212106
14,7,Winter,Tugg,48.28567515151516,269.74022060606063,18.9,169.47575757575757,3,54,100.26446303030306,899.4242424242425,0.7636297120787122,278.40347721212106
14,7,Winter,Gungahlin,45.92207070707071,141.4069191919192,14.7,86.91212121212122,3,42,54.49479797979798,899.4242424242425,0.7636297120787122,278.40347721212106
14,7,Winter,Woden Valley,55.566629090909096,177.41511393939393,42.349999999999994,152.28939393939393,9,121,25.12572,899.4242424242425,0.7636297120787122,278.40347721212106
15,8,Summer,Belconnen,67.34399060606061,241.98641484848486,45.15,179.60454545454544,9,129,62.38186939393941,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,Nth CBR & City,40.808122727272725,249.0747893939394,15.749999999999998,164.59848484848484,3,45,84.47630454545455,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,CBR East,0.8017940404040405,48.58361222222222,5.25,23.946969696969695,1,15,24.636642525252526,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,South CBR,18.781021212121214,132.55071818181818,9.799999999999999,112.8,1,28,19.750718181818186,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,Tugg,49.77454575757576,243.55636393939395,19.95,160.58636363636361,3,57,82.97000030303033,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,Gungahlin,47.40385131313131,137.9856694949495,15.749999999999998,85.87121212121212,3,45,52.114457373737366,915.8030303030304,0.8344497552617142,181.69028733333323
15,8,Summer,Woden Valley,58.30551212121212,165.6994515151515,45.849999999999994,142.78939393939393,10,131,22.910057575757577,915.8030303030304,0.8344497552617142,181.69028733333323
16,8,Winter,Belconnen,69.96988181818182,264.2426090909091,48.65,201.9227272727273,10,139,62.31988181818184,932.1818181818181,0.7643584077253651,287.3793310909092
16,8,Winter,Nth CBR & City,42.554178181818195,296.51781454545454,16.799999999999997,166.7090909090909,3,48,129.80872363636365,932.1818181818181,0.7643584077253651,287.3793310909092
16,8,Winter,CBR East,0.8225454545454548,48.931636363636365,5.6,24.96363636363636,1,16,23.968000000000004,932.1818181818181,0.7643584077253651,287.3793310909092
