Season,Year,Season Type,District,Baseline Power Consumption (MW),Power Consumption from Chargers (MW),Total Power Consumption (MW),Chargers Added This Season,Total Chargers Placed,Spare Capacity (MW),Cumulative Total Power Consumption (MW),Buffer Percentage,Overall Spare Capacity (MW)
12,6,Winter,Woden Valley,105.33333333333333,20.65,125.98333333333332,8,59,-8.84999999999998,810.6666666666667,0.8907054592333781,99.47333333333324
13,7,Summer,Belconnen,130.8181818181818,21.349999999999998,152.1681818181818,0,61,17.06818181818184,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,Nth CBR & City,146.72727272727272,5.6,152.3272727272727,0,16,50.07272727272729,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,CBR East,18.454545454545453,2.8,21.254545454545454,0,8,25.87272727272728,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,South CBR,103.0,2.8,105.8,0,8,7.945454545454552,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,Tugg,139.54545454545453,8.399999999999999,147.94545454545454,0,24,43.18181818181819,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,Gungahlin,69.81818181818181,8.399999999999999,78.21818181818182,0,24,8.10909090909091,816.5454545454545,0.9938655194391331,5.040000000000077
13,7,Summer,Woden Valley,94.0909090909091,20.65,114.7409090909091,0,59,-11.831818181818193,816.5454545454545,0.9938655194391331,5.040000000000077
14,7,Winter,Belconnen,148.96969696969697,23.799999999999997,172.76969696969695,7,68,15.866666666666674,831.1742424242425,0.8913049129613924,101.36212121212122
14,7,Winter,Nth CBR & City,146.45454545454544,6.3,152.75454545454545,2,18,94.76060606060608,831.1742424242425,0.8913049129613924,101.36212121212122
14,7,Winter,CBR East,19.181818181818183,3.15,22.331818181818182,1,9,25.12272727272727,831.1742424242425,0.8913049129613924,101.36212121212122
14,7,Winter,South CBR,103.75757575757575,3.15,106.90757575757576,1,9,6.8500000000000085,831.1742424242425,0.8913049129613924,101.36212121212122
